index,key,value
1992-01-01,UK,87.85
1992-04-01,UK,57.261
1992-07-01,UK,51.058
1992-10-01,UK,93.736
1993-01-01,UK,95.137
1993-04-01,UK,55.661
1993-07-01,UK,56.4
1993-10-01,UK,103.089
1994-01-01,UK,100.25
1994-04-01,UK,57.464
1994-07-01,UK,61.831
1994-10-01,UK,115.736
1995-01-01,UK,112.684
1995-04-01,UK,64.209
1995-07-01,UK,59.287
1995-10-01,UK,111.719
1996-01-01,UK,108.173
1996-04-01,UK,64.632
1996-07-01,UK,64.742
1996-10-01,UK,129.994
1997-01-01,UK,126.261
1997-04-01,UK,65.146
1997-07-01,UK,74.071
1997-10-01,UK,145.139
1998-01-01,UK,143.115
1998-04-01,UK,82.747
1998-07-01,UK,78.303
1998-10-01,UK,163.356
1999-01-01,UK,160.239
1999-04-01,UK,81.152
1999-07-01,UK,107.941
1999-10-01,UK,179.102
2000-01-01,UK,161.953
2000-04-01,UK,105.394
2000-07-01,UK,107.231
2000-10-01,UK,205.874
2001-01-01,UK,184.901
2001-04-01,UK,107.454
2001-07-01,UK,121.889
2001-10-01,UK,202.988
2002-01-01,UK,206.655
2002-04-01,UK,95.564
2002-07-01,UK,115.95
2002-10-01,UK,224.496
2003-01-01,UK,196.276
2003-04-01,UK,107.563
2003-07-01,UK,125.171
2003-10-01,UK,243.894
2004-01-01,UK,205.423
2004-04-01,UK,111.924
2004-07-01,UK,125.132
2004-10-01,UK,233.761
2005-01-01,UK,235.242
2005-04-01,UK,105.37
2005-07-01,UK,131.141
2005-10-01,UK,237.053
2006-01-01,UK,224.933
2006-04-01,UK,116.211
2006-07-01,UK,123.808
2006-10-01,UK,269.292
2007-01-01,UK,231.686
2007-04-01,UK,108.543
2007-07-01,UK,122.734
2007-10-01,UK,226.031
2008-01-01,UK,230.109
2008-04-01,UK,107.43
2008-07-01,UK,115.758
2008-10-01,UK,218.864
2009-01-01,UK,210.109
2009-04-01,UK,113.973
2009-07-01,UK,116.517
2009-10-01,UK,223.178
2010-01-01,UK,213.568
2010-04-01,UK,99.497
2010-07-01,UK,108.208
2010-10-01,UK,225.395
2011-01-01,UK,188.56
2011-04-01,UK,110.212
2011-07-01,UK,107.089
2011-10-01,UK,202.24
2012-01-01,UK,194.64
2012-04-01,UK,92.97
2012-07-01,UK,101.69
1981-01-01,US,32.316
1981-04-01,US,23.721
1981-07-01,US,24.533
1981-10-01,US,33.438
1982-01-01,US,33.527
1982-04-01,US,28.366
1982-07-01,US,30.856
1982-10-01,US,33.293
1983-01-01,US,32.472
1983-04-01,US,32.369
1983-07-01,US,37.476
1983-10-01,US,38.112
1984-01-01,US,42.553
1984-04-01,US,41.277
1984-07-01,US,33.056
1984-10-01,US,44.472
1985-01-01,US,47.792
1985-04-01,US,43.07
1985-07-01,US,41.116
1985-10-01,US,65.428
1986-01-01,US,59.377
1986-04-01,US,53.283
1986-07-01,US,48.51
1986-10-01,US,85.878
1987-01-01,US,84.13
1987-04-01,US,64.347
1987-07-01,US,65.976
1987-10-01,US,96.165
1988-01-01,US,78.609
1988-04-01,US,69.306
1988-07-01,US,86.267
1988-10-01,US,92.738
1989-01-01,US,73.321
1989-04-01,US,59.819
1989-07-01,US,60.868
1989-10-01,US,67.761
1990-01-01,US,67.637
1990-04-01,US,56.153
1990-07-01,US,58.783
1990-10-01,US,69.018
1991-01-01,US,63.235
1991-04-01,US,56.691
1991-07-01,US,85.473
1991-10-01,US,66.332
1992-01-01,US,69.861
1992-04-01,US,61.501
1992-07-01,US,57.869
1992-10-01,US,73.632
1993-01-01,US,76.323
1993-04-01,US,62.718
1993-07-01,US,64.731
1993-10-01,US,77.495
1994-01-01,US,81.428
1994-04-01,US,63.554
1994-07-01,US,66.505
1994-10-01,US,78.19
1995-01-01,US,83.047
1995-04-01,US,67.448
1995-07-01,US,69.234
1995-10-01,US,85.16
1996-01-01,US,84.995
1996-04-01,US,71.005
1996-07-01,US,71.412
1996-10-01,US,89.483
1997-01-01,US,87.405
1997-04-01,US,73.061
1997-07-01,US,79.986
1997-10-01,US,89.141
1998-01-01,US,101.167
1998-04-01,US,85.384
1998-07-01,US,82.586
1998-10-01,US,104.76
1999-01-01,US,113.86
1999-04-01,US,92.494
1999-07-01,US,95.001
1999-10-01,US,115.704
2000-01-01,US,118.84
2000-04-01,US,107.313
2000-07-01,US,131.833
2000-10-01,US,130.1
2001-01-01,US,126.702
2001-04-01,US,113.471
2001-07-01,US,105.239
2001-10-01,US,101.058
2002-01-01,US,121.127
2002-04-01,US,97.016
2002-07-01,US,102.261
2002-10-01,US,114.103
2003-01-01,US,112.908
2003-04-01,US,94.212
2003-07-01,US,102.961
2003-10-01,US,112.039
2004-01-01,US,114.017
2004-04-01,US,101.065
2004-07-01,US,105.884
2004-10-01,US,112.335
2005-01-01,US,122.725
2005-04-01,US,104.542
2005-07-01,US,107.725
2005-10-01,US,111.286
2006-01-01,US,123.608
2006-04-01,US,109.865
2006-07-01,US,107.787
2006-10-01,US,114.824
2007-01-01,US,124.677
2007-04-01,US,108.089
2007-07-01,US,107.738
2007-10-01,US,119.189
2008-01-01,US,128.066
2008-04-01,US,99.471
2008-07-01,US,111.243
2008-10-01,US,115.636
2009-01-01,US,119.158
2009-04-01,US,105.507
2009-07-01,US,118.979
2009-10-01,US,136.094
2010-01-01,US,127.535
2010-04-01,US,105.974
2010-07-01,US,111.615
2010-10-01,US,127.002
2011-01-01,US,125.264
2011-04-01,US,101.814
2011-07-01,US,101.925
2011-10-01,US,127.15
2012-01-01,US,129.52
2012-04-01,US,105.7
2012-07-01,US,106.54
